,size,time,type,value,sid
269,0,2018-04-24 07:27:16,TRADE,9246.0,XBTUSD KRKN Curncy
270,0,2018-04-24 07:32:17,BID,9246.0,XBTUSD KRKN Curncy
271,0,2018-04-24 07:32:17,ASK,9247.1,XBTUSD KRKN Curncy
272,0,2018-04-24 07:32:17,TRADE,9246.0,XBTUSD KRKN Curncy
273,0,2018-04-24 07:37:11,BID,9256.0,XBTUSD KRKN Curncy
274,0,2018-04-24 07:37:11,ASK,9257.0,XBTUSD KRKN Curncy
275,0,2018-04-24 07:37:11,TRADE,9256.0,XBTUSD KRKN Curncy
276,0,2018-04-24 07:41:55,BID,9257.0,XBTUSD KRKN Curncy
277,0,2018-04-24 07:41:55,ASK,9257.7,XBTUSD KRKN Curncy
278,0,2018-04-24 07:41:55,TRADE,9257.0,XBTUSD KRKN Curncy
279,0,2018-04-24 07:46:52,BID,9246.0,XBTUSD KRKN Curncy
280,0,2018-04-24 07:46:52,ASK,9250.0,XBTUSD KRKN Curncy
281,0,2018-04-24 07:46:52,TRADE,9246.0,XBTUSD KRKN Curncy
282,0,2018-04-24 07:52:04,BID,9236.6,XBTUSD KRKN Curncy
283,0,2018-04-24 07:52:04,ASK,9240.0,XBTUSD KRKN Curncy
284,0,2018-04-24 07:52:04,TRADE,9250.4,XBTUSD KRKN Curncy
285,0,2018-04-24 07:57:01,BID,9237.1,XBTUSD KRKN Curncy
286,0,2018-04-24 07:57:01,ASK,9243.6,XBTUSD KRKN Curncy
287,0,2018-04-24 07:57:01,TRADE,9243.6,XBTUSD KRKN Curncy
288,0,2018-04-24 08:02:14,BID,9238.1,XBTUSD KRKN Curncy
289,0,2018-04-24 08:02:14,ASK,9243.9,XBTUSD KRKN Curncy
290,0,2018-04-24 08:02:14,TRADE,9238.1,XBTUSD KRKN Curncy
291,0,2018-04-24 08:07:13,BID,9245.1,XBTUSD KRKN Curncy
292,0,2018-04-24 08:07:13,ASK,9253.4,XBTUSD KRKN Curncy
293,0,2018-04-24 08:07:13,TRADE,9261.8,XBTUSD KRKN Curncy
294,0,2018-04-24 08:12:25,BID,9258.7,XBTUSD KRKN Curncy
295,0,2018-04-24 08:12:25,ASK,9259.2,XBTUSD KRKN Curncy
296,0,2018-04-24 08:12:25,TRADE,9259.8,XBTUSD KRKN Curncy
297,0,2018-04-24 08:17:31,BID,9266.9,XBTUSD KRKN Curncy
298,0,2018-04-24 08:17:31,ASK,9268.0,XBTUSD KRKN Curncy
299,0,2018-04-24 08:17:31,TRADE,9268.0,XBTUSD KRKN Curncy
300,0,2018-04-24 08:22:37,BID,9271.0,XBTUSD KRKN Curncy
301,0,2018-04-24 08:22:37,ASK,9278.8,XBTUSD KRKN Curncy
302,0,2018-04-24 08:22:37,TRADE,9268.2,XBTUSD KRKN Curncy
303,0,2018-04-24 08:27:23,BID,9260.2,XBTUSD KRKN Curncy
304,0,2018-04-24 08:27:23,ASK,9271.3,XBTUSD KRKN Curncy
305,0,2018-04-24 08:27:23,TRADE,9260.2,XBTUSD KRKN Curncy
306,0,2018-04-24 08:32:17,BID,9270.3,XBTUSD KRKN Curncy
307,0,2018-04-24 08:32:17,ASK,9270.5,XBTUSD KRKN Curncy
308,0,2018-04-24 08:32:17,TRADE,9270.5,XBTUSD KRKN Curncy
309,0,2018-04-24 08:37:13,BID,9283.5,XBTUSD KRKN Curncy
310,0,2018-04-24 08:37:13,ASK,9283.6,XBTUSD KRKN Curncy
311,0,2018-04-24 08:37:13,TRADE,9276.6,XBTUSD KRKN Curncy
312,0,2018-04-24 08:42:20,BID,9281.2,XBTUSD KRKN Curncy
313,0,2018-04-24 08:42:20,ASK,9284.3,XBTUSD KRKN Curncy
314,0,2018-04-24 08:42:20,TRADE,9281.2,XBTUSD KRKN Curncy
315,0,2018-04-24 08:47:19,BID,9275.7,XBTUSD KRKN Curncy
316,0,2018-04-24 08:47:19,ASK,9279.3,XBTUSD KRKN Curncy
317,0,2018-04-24 08:47:19,TRADE,9275.6,XBTUSD KRKN Curncy
318,0,2018-04-24 08:52:15,BID,9275.0,XBTUSD KRKN Curncy
319,0,2018-04-24 08:52:15,ASK,9280.0,XBTUSD KRKN Curncy
320,0,2018-04-24 08:52:15,TRADE,9275.0,XBTUSD KRKN Curncy
321,0,2018-04-24 08:57:12,BID,9279.6,XBTUSD KRKN Curncy
322,0,2018-04-24 08:57:12,ASK,9280.0,XBTUSD KRKN Curncy
323,0,2018-04-24 08:57:12,TRADE,9279.6,XBTUSD KRKN Curncy
324,0,2018-04-24 09:02:18,BID,9276.9,XBTUSD KRKN Curncy
325,0,2018-04-24 09:02:18,ASK,9277.0,XBTUSD KRKN Curncy
326,0,2018-04-24 09:02:18,TRADE,9276.0,XBTUSD KRKN Curncy
327,0,2018-04-24 09:07:33,BID,9290.0,XBTUSD KRKN Curncy
328,0,2018-04-24 09:07:33,ASK,9290.2,XBTUSD KRKN Curncy
329,0,2018-04-24 09:07:33,TRADE,9290.0,XBTUSD KRKN Curncy
330,0,2018-04-24 09:12:33,BID,9288.7,XBTUSD KRKN Curncy
331,0,2018-04-24 09:12:33,ASK,9293.4,XBTUSD KRKN Curncy
332,0,2018-04-24 09:12:33,TRADE,9295.0,XBTUSD KRKN Curncy
333,0,2018-04-24 09:18:21,BID,9289.1,XBTUSD KRKN Curncy
334,0,2018-04-24 09:18:21,ASK,9292.0,XBTUSD KRKN Curncy
335,0,2018-04-24 09:18:21,TRADE,9289.0,XBTUSD KRKN Curncy
336,0,2018-04-24 09:22:32,BID,9259.4,XBTUSD KRKN Curncy
337,0,2018-04-24 09:22:32,ASK,9266.9,XBTUSD KRKN Curncy
338,0,2018-04-24 09:22:32,TRADE,9258.4,XBTUSD KRKN Curncy
339,0,2018-04-24 09:27:26,BID,9268.6,XBTUSD KRKN Curncy
